Study_ID,Group,Intervention,Sample_Size,MMD_Baseline,MMD_Baseline_SD,Timepoint,Change_MMD,MMD_SD
Ailani2021,Pharma,Atogepant,221,7.2,2.5,T3,-3.4,0.2
Ailani2021,Pharma,Atogepant,228,7.3,2.4,T3,-3.3,0.2
Ailani2021,Pharma,Atogepant,231,7.3,2.4,T3,-3.7,0.2
Schwedt2022,Pharma,Atogepant,221,7.5,2.5,T1,-3.4,
Schwedt2022,Pharma,Atogepant,221,7.5,2.5,T2,-3.7,
Schwedt2022,Pharma,Atogepant,221,7.5,2.5,T3,-4.2,
Schwedt2022,Pharma,Atogepant,228,7.9,2.3,T1,-3.5,
Schwedt2022,Pharma,Atogepant,228,7.9,2.3,T2,-4,
Schwedt2022,Pharma,Atogepant,228,7.9,2.3,T3,-4.4,
Schwedt2022,Pharma,Atogepant,231,7.8,2.3,T1,-3.8,
Schwedt2022,Pharma,Atogepant,231,7.8,2.3,T2,-4.1,
Schwedt2022,Pharma,Atogepant,231,7.8,2.3,T3,-4.3,
Pozo-Rosich2023,Pharma,Atogepant,257,18.6,5.1,T1,-6.6,0.4
Pozo-Rosich2023,Pharma,Atogepant,257,18.6,5.1,T2,-7.55,0.4
Pozo-Rosich2023,Pharma,Atogepant,257,18.6,5.1,T3,-8.4,0.4
Pozo-Rosich2023,Pharma,Atogepant,262,19.2,5.3,T1,-6.2,0.4
Pozo-Rosich2023,Pharma,Atogepant,262,19.2,5.3,T2,-7.3,0.4
Pozo-Rosich2023,Pharma,Atogepant,262,19.2,5.3,T3,-7.3,0.4
Schwedt2024,Pharma,Rimegepant,293,8.3,2.9,T1,-3.8,0.2
Schwedt2024,Pharma,Rimegepant,293,8.3,2.9,T2,-4.4,0.2
Schwedt2024,Pharma,Rimegepant,293,8.3,2.9,T3,-4.9,0.2
Croop2021,Pharma,Rimegepant,370,10.3,3.2,T1,-2.9,0.4
Croop2021,Pharma,Rimegepant,370,10.3,3.2,T3,-4.3,0.4
Hedayat2022,Pharma,Amitriptyline,40,10.98,6.42,T2,-8,2.43
Hedayat2022,Pharma,Venlafaxine,40,9.98,4.49,T2,-6.8,3.09
Roghani2024,Pharma,Venlafaxine,100,10.02,4.01,T3,-8.27,0.77
Roghani2024,Pharma,Nortriptyline,101,9.98,4.08,T3,-7.95,0.78
Mosarrezaii2025,Pharma,Valsartan,28,5.03,1.81,T3,-3.21,0.91
Mosarrezaii2025,Pharma,Propranolol,28,5.7,1.83,T3,-3.31,1.13
Khani2021,Pharma,Valproate,88,6.5,1.6,T1,-2.41,0.99
Khani2021,Pharma,Valproate,88,6.5,1.6,T2,-3.67,0.73
Khani2021,Pharma,Valproate,88,6.5,1.6,T3,-4.9,0.76
Karimi2021,Pharma,Valproate,35,5.17,2.21,T2,-2.55,2.35
Karimi2021,Pharma,Valproate,35,5.34,2.01,T2,-3.12,1.96
Reuter2022,Pharma,Topiramate,388,10.5,3.8,T3,-4.02,0.24
Chowdhury2.2022,Pharma,Topiramate,41,14.1,5.5,T1,-4.3,0.95
Chowdhury2.2022,Pharma,Topiramate,41,14.1,5.5,T2,-6.5,0.49
Chowdhury2.2022,Pharma,Topiramate,41,14.1,5.5,T3,-7.4,0.49
Chowdhury2.2022,Pharma,GONB MethylTopiramate,42,13,4,T1,-6.5,0.94
Chowdhury2.2022,Pharma,GONB MethylTopiramate,42,13,4,T2,-8.4,0.49
Chowdhury2.2022,Pharma,GONB MethylTopiramate,42,13,4,T3,-9,0.49
Chowdhury2.2022,Pharma,GONB Topiramate,38,15.3,5.6,T1,-8.4,0.99
Chowdhury2.2022,Pharma,GONB Topiramate,38,15.3,5.6,T2,-7.7,0.51
Chowdhury2.2022,Pharma,GONB Topiramate,38,15.3,5.6,T3,-11.1,0.51
Reuter2022,Pharma,Erenumab,388,10.3,4,T3,-5.86,0.24
Lipton2021,Pharma,Erenumab,216,17.3,4.6,T1,-5.2,0.7
Lipton2021,Pharma,Erenumab,216,17.3,4.6,T2,-6.6,0.7
Lipton2021,Pharma,Erenumab,216,17.3,4.6,T3,-6.6,0.7
Lipton2021,Pharma,Erenumab,91,18.9,4.3,T1,-4.8,0.7
Lipton2021,Pharma,Erenumab,91,18.9,4.3,T2,-6.7,0.7
Lipton2021,Pharma,Erenumab,91,18.9,4.3,T3,-7.3,0.7
Schwedt2024,Pharma,Galcanezumab,287,8.5,2.9,T1,-4.3,0.2
Schwedt2024,Pharma,Galcanezumab,287,8.5,2.9,T2,-4.8,0.2
Schwedt2024,Pharma,Galcanezumab,287,8.5,2.9,T3,-5,0.2
Okonkwo2021,Pharma,Galcanezumab,56,10.2,2.6,T1,-3.9,0.5
Okonkwo2021,Pharma,Galcanezumab,56,10.2,2.6,T2,-3.6,0.5
Okonkwo2021,Pharma,Galcanezumab,56,10.2,2.6,T3,-3.4,0.5
Okonkwo2021,Pharma,Galcanezumab,43,18.8,4.6,T1,-6,0.5
Okonkwo2021,Pharma,Galcanezumab,43,18.8,4.6,T2,-6.5,0.5
Okonkwo2021,Pharma,Galcanezumab,43,18.8,4.6,T3,-7.75,0.5
Ruff2020,Pharma,Galcanezumab,316,9,3,T1,-3.75,3
Ruff2020,Pharma,Galcanezumab,316,9,3,T2,-4.15,3
Ruff2020,Pharma,Galcanezumab,316,9,3,T3,-4.3,3
Ruff2020,Pharma,Galcanezumab,128,9.5,2.8,T1,-3.75,2.8
Ruff2020,Pharma,Galcanezumab,128,9.5,2.8,T2,-4.05,2.8
Ruff2020,Pharma,Galcanezumab,128,9.5,2.8,T3,-3.8,2.8
Ruff2020,Pharma,Galcanezumab,51,9.3,2.8,T1,-3.75,2.9
Ruff2020,Pharma,Galcanezumab,51,9.3,2.8,T2,-4.15,2.9
Ruff2020,Pharma,Galcanezumab,51,9.3,2.8,T3,-4.3,2.9
Ruff2020,Pharma,Galcanezumab,331,9,2.9,T1,-3.25,3
Ruff2020,Pharma,Galcanezumab,331,9,2.9,T2,-3.75,3
Ruff2020,Pharma,Galcanezumab,331,9,2.9,T3,-4.5,3
Ruff2020,Pharma,Galcanezumab,104,9.4,2.9,T1,-3.75,2.8
Ruff2020,Pharma,Galcanezumab,104,9.4,2.9,T2,-4.5,2.8
Ruff2020,Pharma,Galcanezumab,104,9.4,2.9,T3,-4.4,2.8
Ruff2020,Pharma,Galcanezumab,45,9.9,2.8,T1,-3.6,2.9
Ruff2020,Pharma,Galcanezumab,45,9.9,2.8,T2,-3.9,2.9
Ruff2020,Pharma,Galcanezumab,45,9.9,2.8,T3,-4.2,2.9
Sakai2020,Pharma,Galcanezumab,115,8.6,2.8,T1,-3.8,0.3
Sakai2020,Pharma,Galcanezumab,115,8.6,2.8,T2,-3.52,0.3
Sakai2020,Pharma,Galcanezumab,115,8.6,2.8,T3,-3.7,0.3
Sakai2020,Pharma,Galcanezumab,114,9,3,T1,-3.1,0.4
Sakai2020,Pharma,Galcanezumab,114,9,3,T2,-2.8,0.4
Sakai2020,Pharma,Galcanezumab,114,9,3,T3,-3.6,0.4
Sakai2021,Pharma,Fremanezumab,189,16.4,5.3,T3,-4.3,0.5
Sakai2021,Pharma,Fremanezumab,191,15.2,5,T3,-4.9,0.5
Pazdera2021,Pharma,Fremanezumab,140,13.3,5.6,T1,-4.2,1.25
Pazdera2021,Pharma,Fremanezumab,140,13.3,5.6,T3,-6.9,1.5
Pazdera2021,Pharma,Fremanezumab,133,12.8,5.09,T1,-4.5,1.25
Pazdera2021,Pharma,Fremanezumab,133,12.8,5.09,T3,-4.7,1.5
Pazdera2021,Pharma,Fremanezumab,85,14.4,5.85,T1,-4.1,1.25
Pazdera2021,Pharma,Fremanezumab,85,14.4,5.85,T3,-4,1.5
Pazdera2021,Pharma,Fremanezumab,98,15.2,5.82,T1,-3.7,1.25
Pazdera2021,Pharma,Fremanezumab,98,15.2,5.82,T3,-3.6,1.5
Pazdera2021,Pharma,Fremanezumab,49,16,4.61,T1,-4.7,1.25
Pazdera2021,Pharma,Fremanezumab,49,16,4.61,T3,-3.9,1.5
Pazdera2021,Pharma,Fremanezumab,50,15.3,5.71,T1,-4,1.25
Pazdera2021,Pharma,Fremanezumab,50,15.3,5.71,T3,-4,1.5
Ashina2020,Pharma,Eptinezumab,223,8.7,3.05,T3,-4,1.7
Ashina2020,Pharma,Eptinezumab,224,8.6,2.85,T3,-4.3,2.5
Ashina2020,Pharma,Eptinezumab,213,8.7,2.87,T3,-3.9,3.2
Rahimi2020,NIBS,c-tDCS-C3,15,17.13,10.05,T3,-15.33,1.08
Rahimi2020,NIBS,c-tDCS-S1,15,14,8.61,T3,-12.33,1.17
Rahimi2023,NIBS,a-tDCS-F8+a-tDCS-C4,28,21,4.5,T3,-19.8,0.5
Rahimi2023,NIBS,c-tDCS-F8+c-tDCS-C4,25,22,4,T3,-16.5,2
Rahimi2023,NIBS,c-tDCS-O2+c-tDCS-C3,24,21,4.2,T3,-17.9,1.8
Rahimi2023,NIBS,a-tDCS-O2+a-tDCS-C3,29,20,4,T3,-18.5,0.75
DeIcco2021,NIBS,a-tDCS-C3,10,15.8,3.1,T1,-11.2,3.3
Hodaj2022,NIBS,a-tDCS-C3,17,18.29,7.9,T1,-3.3,3.9
Hodaj2022,NIBS,a-tDCS-C3,17,18.29,7.9,T2,-2.31,4.7
Hodaj2022,NIBS,a-tDCS-C3,17,18.29,7.9,T3,-3.73,3.63
Aksu2023,NIBS,a-tDCS-C3,11,11.45,9.56,T1,-5.27,4.49
Aksu2023,NIBS,a-tDCS-C3,11,11.45,9.56,T2,-11,
Aksu2023,NIBS,a-tDCS-C3,11,11.45,9.56,T3,-6.55,0.75
Cerrahoglu2021,NIBS,a-tDCS-C3,21,9.38,0.5,T1,-3.14,0.7
Cerrahoglu2021,NIBS,a-tDCS-C3,15,7.13,0.5,T1,-3.06,0.7
Pohl2021,NIBS,a-tDCS-O1,11,5,2,T1,-0.1,0.5
Pohl2021,NIBS,a-tDCS-O1,11,5,2,T2,-7.1,0.5
Pohl2021,NIBS,a-tDCS-O1,11,5,2,T3,-2.1,0.5
Deng2020,NIBS,PMES,45,4.71,2.06,T3,-2.85,0.34
Deng2020,NIBS,STS,45,6.5,2.07,T3,-3.5,0.79
Najib2022,NIBS,nVNS,56,9.2,4.6,T3,-3.12,0.83
Najib2022,NIBS,nVNS,56,9.2,4.6,T3,-4.4,2.1
Tepper2023,NIBS,REN,128,12.1,4.3,T3,-3.8,4.5
Blumenfeld2023,NIBS,REN,45,9.6,,T1,-2.91,
Blumenfeld2023,NIBS,REN,45,9.6,,T2,-3.23,
Blumenfeld2023,NIBS,REN,50,13.71,,T1,-3.21,
Blumenfeld2023,NIBS,REN,50,13.71,,T2,-4.64,
Leahu2021,NIBS,rTMS-swipe+multifocal,33,7.63,3.91,T3,-3.33,
