Study_ID,Group,Intervention,Sample_Size,Migraine_Type,Aura,MOH,Length_Treatment,Dosage,Drug_Class,Montage,Frequency,No_Sessions,MMD_Baseline,MMD_Baseline_SD,AMD_Baseline,AMD_Baseline_SD,Percent_Response,MHD_Baseline,MHD_Baseline_SD,Change_MMD,Change_MHD,Change_AMD
Ailani2021,Pharma,Atogepant,221,EM,Both,No,12,10,Gepant,,,84,7.2,2.5,6.5,0.2,55.6,9.3,2.7,-3.4,-4.8,-3.6
Ailani2021,Pharma,Atogepant,228,EM,Both,No,12,30,Gepant,,,84,7.3,2.4,6.6,0.2,58.7,9.2,2.7,-3.3,-4.4,-3.6
Ailani2021,Pharma,Atogepant,231,EM,Both,No,12,60,Gepant,,,84,7.3,2.4,6.9,0.2,60.8,9.1,2.7,-3.7,-4.3,-3.9
Schwedt2022,Pharma,Atogepant,221,EM,Both,No,12,10,Gepant,,,84,7.5,2.5,6.6,3,,8.4,2.8,-4.2,,
Schwedt2022,Pharma,Atogepant,228,EM,Both,No,12,30,Gepant,,,84,7.9,2.3,6.7,3,,8.8,2.6,-4.4,,
Schwedt2022,Pharma,Atogepant,231,EM,Both,No,12,60,Gepant,,,84,7.8,2.3,6.9,3.2,,9,2.6,-4.3,,
Pozo-Rosich2023,Pharma,Atogepant,257,CM,Both,Both,12,60,Gepant,,,84,18.6,5.1,14.5,7.2,43,21.1,4.1,-8.4,-7.4,-6.7
Pozo-Rosich2023,Pharma,Atogepant,262,CM,Both,Both,12,120,Gepant,,,84,19.2,5.3,15.5,7.4,41,21.5,4.3,-7.3,-7,-6.2
Schwedt2024,Pharma,Rimegepant,293,EM,Both,No,12,75,Gepant,,,42,8.3,2.9,6.9,3.7,61,9.5,3.4,-4.9,,-3.6
Croop2021,Pharma,Rimegepant,370,EM+CM,Both,No,16,75,Gepant,,,112,10.3,3.2,,,49,,,-4.3,,
Hedayat2022,Pharma,Amitriptyline,40,EM+CM,Both,No,8,25,Antidepressant,,,42,10.98,6.42,,,,,,-8,,
Hedayat2022,Pharma,Venlafaxine,40,EM+CM,Both,No,8,37.5,Antidepressant,,,42,9.98,4.49,,,,,,-6.8,,
Roghani2024,Pharma,Venlafaxine,100,EM+CM,Both,No,12,75,Antidepressant,,,84,10.02,4.01,,,77,,,-8.27,,
Roghani2024,Pharma,Nortriptyline,101,EM+CM,Both,No,12,25,Antidepressant,,,84,9.98,4.08,,,79.2,,,-7.95,,
Mosarrezaii2025,Pharma,Valsartan,28,EM,Both,No,12,80,Antihypertensive,,,84,5.03,1.81,,,,,,-3.21,,
Mosarrezaii2025,Pharma,Propranolol,28,EM,Both,No,12,40,Antihypertensive,,,84,5.7,1.83,,,,,,-3.31,,
Chowdhury1.2022,Pharma,Propranolol,82,CM,Both,Both,24,75,Antihypertensive,,,168,17.6,6.6,,,,,,,,
Khani2021,Pharma,Valproate,42,EM,Both,No,12,200,Anticonvulsant,,,168,6.5,1.6,6.4,0.95,,,,-4.9,,-4.68
Karimi2021,Pharma,Valproate,70,EM,Both,No,24,400,Anticonvulsant,,,112,5.17,2.21,,,,,,-2.55,,
Khani2021,Pharma,Valproate,42,EM,Both,No,12,200,Anticonvulsant,,,168,5.34,2.01,,,,,,-3.12,,
Chowdhury1.2022,Pharma,Topiramate,93,CM,Both,Both,24,120,Anticonvulsant,,,168,17.3,6.7,,,,,,,,
Reuter2022,Pharma,Topiramate,388,EM+CM,Both,Both,24,100,Anticonvulsant,,,168,10.5,3.8,,,31.2,11.5,4.1,-4.02,,
Chowdhury2.2022,Pharma,Topiramate,41,CM,Both,Both,4,100,Anticonvulsant,,,28,14.1,5.5,14,5.7,39,,,-7.4,,-7.4
Chowdhury2.2022,Pharma,GONB MethylTopiramate,42,CM,Both,Both,4,100,Anticonvulsant,,,28,13,4,11.3,4,71.4,,,-9,,-8.9
Chowdhury2.2022,Pharma,GONB Topiramate,38,CM,Both,Both,4,100,Anticonvulsant,,,28,15.3,5.6,13.1,6.3,62.3,,,-11.1,,-8.4
Reuter2022,Pharma,Erenumab,388,EM+CM,Both,Both,24,70,CGRP-mAb,,,6,10.3,4,,,55.4,11.4,4.2,-5.86,,
Lipton2021,Pharma,Erenumab,216,CM,Both,Both,12,70,CGRP-mAb,,,3,17.3,4.6,12,5.7,41.5,20.2,3.8,-6.6,,-5.3
Lipton2021,Pharma,Erenumab,91,CM,Both,Both,12,70,CGRP-mAb,,,3,18.9,4.3,12,5.8,44,21.3,3.8,-7.3,,-4.9
