General Information,,Methodology,,,,,How large was the treatment effect?,,,,How precise was the estimate of the treatment effect?,Extra,
"Author, Year",Research Question,1a. Was the assignment of patients to treatments randomised?,1b. Were the groups similar at the start of the trial?,"2a. Aside from the allocated treatment, were groups treated equally?",2b. Were all patients who entered the trial accounted for? And were they analysed in the groups to which they were randomised?,3. Were measures objective or were the patients and clinicians kept “blind” to which treatment was being received?,Relative Risk,Absolute Risk Reduction,Relative Risk Reduction,Number Needed to Treat,Confidence intervals and p values,No of participants,
"Ailani, 2021","efficacy and safety of atogepant administered oncedailyatadoseof10mg,30mg,or60mg as compared with placebo for the prevention of migraine in participants with episodic migraine. ",Yes,Yes,Yes,Yes,"Double-blind, Yes",0.692,0.205,0.308,4.87804878,Yes,873,
"Ruff, 2020 - post hoc",Efficacy of galcanezumab in patients with episodic migraine and a history of preventive treatment failure ,Yes,Yes,Yes,Yes,"Double-blind, Yes",0.702,0.282,0.298,3.546099291,Yes,1773,
"Ashina, 2020","To evaluate the efficacy and safety of eptinezumab, a humanized anti-calcitonin gene-related peptide mono- clonal antibody, in the preventive treatment of episodic migraine.",Yes,Yes,Yes,Yes,"Double-blind, Yes",0.822,0.114,0.178,8.771929825,Yes,888,
"Chowdhury, 2022",to assess the efficacy (non-inferiority) and tolerability of propranolol compared to topiramate for the prevention of chronic migraine. ,Yes,Yes,Yes,Yes,"Double-blind, Yes","Comparative data, as effective",,,,Yes,175,
"Chowdhury, 2022 - Mundra",To compare the efficacy and tolerability of combination treatment of topiramate and greater occipital nerve block to topiramate monotherapy in adult chronic migraine patients.,Yes,Yes,Yes,Yes,Single-blind,"Comparative data, enhanced ",,,,Yes,125,
"Croop, 2021",to compare the efficacy of rimegepant with placebo for preventive treatment of migraine. ,Yes,Yes,Yes,Yes,"Double-blind, Yes",0.901,0.0639,0.099,15.64945227,Yes,695,
"Hedayat, 2022",comparing the effects of venlafaxine (VLF) and amitriptyline (AMT) reducing the severity and the number of migraine attacks.,Yes,Yes,Yes,Yes,"Double-blind, Yes","Comparative data, as effective",,,,Yes,80,
"Karimi, 2021",effectiveness of magnesium oxide in comparison with valproate sodium in preventing migraine headache attacks ,Yes,Yes,Yes,Yes,"Double-blind, Yes","Comparative data, as effective",,,,Yes,63,
"Khani, 2021",to assess the efficacy of concurrent magnesium-sodium valproate therapy and compare it with either magnesium or sodium valproate alone in migraine prophylaxis. ,Yes,Yes,Yes,Yes,"Double-blind, Yes","Comparative data, enhanced",,,,Yes,222,
