Study,Random.sequence.generation.,Allocation.concealment.,Blinding.of.participants.and.personnel.,Blinding.of.outcome.assessment,Incomplete.outcome.data,Selective.reporting.,Other.sources.of.bias.,Overall
"Ailani et al., 2021",Low,Low,Low,Low,Low,Low,Low,Low
"Schwedt et al., 2022",Low,Low,Low,Low,Low,Low,Low,Low
"Pozo-Rosich et al., 2023",Low,Low,Low,Low,Low,Low,Low,Low
"Schwedt et al., 2024",Low,Low,Some concerns,Low,Low,Low,Low,Some concerns
"Croop et al., 2021",Low,Low,No information,Low,Low,Low,Low,Low
"Hedayat et al., 2022",Low,Low,Some concerns,Low,Low,Low,Low,Some concerns
"Roghani et al., 2024",Low,Low,No information,No information,Low,Low,Low,Some concerns
"Mosarrezaii et al., 2025",Some concerns,Low,Low,Low,Low,Low,Low,Some concerns
"Khani et al., 2021",Low,Low,Some concerns,No information,Low,Low,Low,Some concerns
"Karimi et al., 2021",Low,Low,Low,Low,Low,Low,Low,Low
"Reuter et al., 2022",Low,Low,Low,Low,Low,Low,Low,Low
"Chowdhury et al., 2022",Low,Low,Low,Low,Low,Low,Low,Low
"Lipton et al., 2021",Low,Low,No information,Low,Low,Low,Low,Low
"Okonkwo et al., 2021",Low,Low,Some concerns,No information,Low,Low,Low,Some concerns
"Ruff et al., 2020",Low,Low,Low,No information,Low,Low,Low,Low
"Sakai et al., 2020",Low,Low,Low,Low,Low,Low,Low,Low
"Sakai et al., 2021",Low,Low,Low,Low,Low,Low,Low,Low
"Pazdera et al., 2021",Low,Low,Low,No information,Low,Low,Low,Low
"Ashina et al., 2020",Low,Low,Low,Low,Low,Low,Low,Low
"Ahdab et al., 2020",Low,Low,Low,No information,Low,Low,Low,Low
"Rahimi et al., 2020",Low,Low,Some concerns,Low,Low,Low,Low,Some concerns
"Rahimi et al., 2023",Low,Low,Some concerns,Low,Low,Low,Low,Some concerns
"De Icco et al., 2021",Low,Low,Low,Low,Low,Low,Low,Low
"Hodaj et al., 2022",Low,Low,Low,Low,Low,Low,Low,Low
"Aksu et al., 2023",No information,Low,Low,Low,Low,Low,Low,Some concerns
Cerrahoglu Sirin et al. 2021,Low,Low,Low,Low,Low,Low,Low,Low
"Pohl et al., 2021",Low,Low,Some concerns,Low,Low,Low,Low,Some concerns
"Deng et al., 2020",Low,Low,Low,Low,Low,Low,Low,Low
"Najib et al., 2022",Low,Low,Low,Low,Low,Low,Low,Low
"Tepper et al., 2023",Low,Low,Low,Low,Low,Low,Low,Low
"Blumenfeld et al., 2023",Low,Low,Low,No information,Low,Low,Low,Low
"Leahu et al., 2021",Low,Low,No information,No information,Low,Low,Low,Some concerns
